measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1990,276737307,339311683.3,223626967.1
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1990,0.009618252,0.011891987,0.007711813
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,5172.807213,6342.455022,4180.062315
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1992,277548564.4,336844451.6,229756418.8
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1992,0.009419143,0.011355157,0.007638227
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1992,5033.066089,6108.337798,4166.403248
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1991,277180767.4,337719352.1,226495559.7
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1991,0.009515597,0.011559093,0.007685346
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,5102.035086,6216.361979,4169.07819
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1994,280092745.7,337075181.1,231835227.7
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1994,0.009276739,0.011264403,0.007595188
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1994,4935.416002,5939.483504,4085.087207
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1993,278341634.9,335607304.8,229322147.5
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1993,0.009333075,0.011318107,0.007599014
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1993,4974.859091,5998.38056,4098.723393
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1995,283028956.4,342990338.1,233087384.2
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1995,0.009259609,0.011257338,0.0075535
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1995,4917.692486,5959.535132,4049.946312
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1997,287166663.1,341883190.2,238422856.1
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1997,0.009173835,0.011068686,0.007581655
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1997,4853.47645,5778.254324,4029.645032
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1996,285748666.3,342191843.8,237394917.1
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1996,0.009233864,0.011180293,0.007558815
6,Incidence,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1996,4896.290606,5863.441925,4067.751278
